,Group,apx_1,apx_2,apx_3,descriptor,axis,bucket,Ethnicity,Gender
24505,"('THAI', 'M')",70.0,1912.41,1297.97,Republican,political_ideologies,all,THAI,M
14285,"('ISRAELI', 'M')",67.07,1794.51,1102.94,Republican,political_ideologies,all,ISRAELI,M
19395,"('NORDIC', 'M')",74.92,2299.64,1376.81,Republican,political_ideologies,all,NORDIC,M
11365,"('HISPANIC', 'M')",62.87,1489.1,986.94,Republican,political_ideologies,all,HISPANIC,M
3335,"('CHINESE', 'F')",65.78,1937.9,1029.43,Republican,political_ideologies,all,CHINESE,F
28155,"('ENGLISH', 'F')",68.46,1834.99,1230.01,Republican,political_ideologies,all,ENGLISH,F
2686,"('BALTIC', 'M')",34.02,290.21,259.3,Roman Catholic,religion,all,BALTIC,M
4146,"('CHINESE', 'M')",45.56,759.38,534.87,Roman Catholic,religion,all,CHINESE,M
3416,"('CHINESE', 'F')",41.66,554.2,423.01,Roman Catholic,religion,all,CHINESE,F
10716,"('HISPANIC', 'F')",35.35,408.42,298.38,Roman Catholic,religion,all,HISPANIC,F
1956,"('ARAB', 'M')",43.29,557.15,470.44,Roman Catholic,religion,all,ARAB,M
19476,"('NORDIC', 'M')",40.93,395.23,365.56,Roman Catholic,religion,all,NORDIC,M
23126,"('TURKISH', 'M')",41.65,508.81,487.54,Roman Catholic,religion,all,TURKISH,M
16556,"('JAPANESE', 'F')",43.49,557.36,474.97,Roman Catholic,religion,all,JAPANESE,F
17286,"('JAPANESE', 'M')",44.93,581.46,534.08,Roman Catholic,religion,all,JAPANESE,M
7796,"('GERMAN', 'F')",35.79,383.24,317.79,Roman Catholic,religion,all,GERMAN,F
27506,"('KOREAN', 'F')",39.24,492.57,404.72,Roman Catholic,religion,all,KOREAN,F
9986,"('GREEK', 'M')",35.39,350.97,347.44,Roman Catholic,religion,all,GREEK,M
12906,"('INDIAN', 'F')",38.62,580.56,396.72,Roman Catholic,religion,all,INDIAN,F
12176,"('HUNGARIAN', 'M')",34.15,303.23,296.21,Roman Catholic,religion,all,HUNGARIAN,M
24586,"('THAI', 'M')",41.54,452.54,350.44,Roman Catholic,religion,all,THAI,M
18016,"('KOREAN', 'M')",41.53,488.78,442.84,Roman Catholic,religion,all,KOREAN,M
6336,"('FRENCH', 'F')",35.93,467.11,348.39,Roman Catholic,religion,all,FRENCH,F
26776,"('ISRAELI', 'F')",39.54,567.91,416.2,Roman Catholic,religion,all,ISRAELI,F
20206,"('SLAV', 'F')",33.37,382.07,312.94,Roman Catholic,religion,all,SLAV,F
15096,"('ITALIAN', 'F')",37.04,375.51,296.88,Roman Catholic,religion,all,ITALIAN,F
28966,"('ENGLISH', 'M')",40.74,420.76,329.89,Roman Catholic,religion,all,ENGLISH,M
15826,"('ITALIAN', 'M')",42.11,418.54,416.17,Roman Catholic,religion,all,ITALIAN,M
21666,"('THAI', 'F')",39.85,473.84,393.06,Roman Catholic,religion,all,THAI,F
18746,"('NORDIC', 'F')",40.23,489.25,406.94,Roman Catholic,religion,all,NORDIC,F
23856,"('AFRICAN', 'F')",37.78,507.67,363.11,Roman Catholic,religion,all,AFRICAN,F
25316,"('HUNGARIAN', 'F')",32.83,363.35,297.45,Roman Catholic,religion,all,HUNGARIAN,F
20936,"('SLAV', 'M')",33.58,327.84,310.08,Roman Catholic,religion,all,SLAV,M
7066,"('FRENCH', 'M')",35.71,384.17,323.82,Roman Catholic,religion,all,FRENCH,M
11446,"('HISPANIC', 'M')",35.43,376.4,316.83,Roman Catholic,religion,all,HISPANIC,M
8526,"('GERMAN', 'M')",38.18,428.0,401.47,Roman Catholic,religion,all,GERMAN,M
1226,"('ARAB', 'F')",42.46,522.73,430.61,Roman Catholic,religion,all,ARAB,F
26046,"('BALTIC', 'F')",33.35,333.47,263.38,Roman Catholic,religion,all,BALTIC,F
9256,"('GREEK', 'F')",37.77,477.65,412.24,Roman Catholic,religion,all,GREEK,F
22396,"('TURKISH', 'F')",40.87,511.79,443.43,Roman Catholic,religion,all,TURKISH,F
4876,"('DUTCH', 'F')",37.31,397.59,343.06,Roman Catholic,religion,all,DUTCH,F
5606,"('DUTCH', 'M')",38.97,370.8,323.98,Roman Catholic,religion,all,DUTCH,M
14366,"('ISRAELI', 'M')",41.63,444.22,398.15,Roman Catholic,religion,all,ISRAELI,M
496,"('AFRICAN', 'M')",40.43,532.9,397.1,Roman Catholic,religion,all,AFRICAN,M
13636,"('INDIAN', 'M')",38.54,576.05,420.06,Roman Catholic,religion,all,INDIAN,M
28236,"('ENGLISH', 'F')",37.54,435.66,326.7,Roman Catholic,religion,all,ENGLISH,F
4147,"('CHINESE', 'M')",68.08,1024.06,694.76,Satanist,religion,all,CHINESE,M
23127,"('TURKISH', 'M')",59.27,812.13,624.32,Satanist,religion,all,TURKISH,M
28237,"('ENGLISH', 'F')",56.33,835.82,636.22,Satanist,religion,all,ENGLISH,F
26777,"('ISRAELI', 'F')",57.92,794.35,628.59,Satanist,religion,all,ISRAELI,F
5607,"('DUTCH', 'M')",61.29,900.5,712.56,Satanist,religion,all,DUTCH,M
17287,"('JAPANESE', 'M')",63.37,878.51,607.01,Satanist,religion,all,JAPANESE,M
15827,"('ITALIAN', 'M')",59.75,908.25,686.8,Satanist,religion,all,ITALIAN,M
9257,"('GREEK', 'F')",61.0,1002.7,768.31,Satanist,religion,all,GREEK,F
15097,"('ITALIAN', 'F')",60.83,861.82,664.72,Satanist,religion,all,ITALIAN,F
13637,"('INDIAN', 'M')",53.38,965.47,654.35,Satanist,religion,all,INDIAN,M
25317,"('HUNGARIAN', 'F')",55.35,780.61,609.93,Satanist,religion,all,HUNGARIAN,F
7067,"('FRENCH', 'M')",58.17,831.73,612.06,Satanist,religion,all,FRENCH,M
1957,"('ARAB', 'M')",60.38,891.38,668.84,Satanist,religion,all,ARAB,M
18017,"('KOREAN', 'M')",66.67,870.58,649.16,Satanist,religion,all,KOREAN,M
22397,"('TURKISH', 'F')",62.26,840.31,623.49,Satanist,religion,all,TURKISH,F
19477,"('NORDIC', 'M')",53.5,766.43,590.82,Satanist,religion,all,NORDIC,M
12907,"('INDIAN', 'F')",54.77,986.1,674.41,Satanist,religion,all,INDIAN,F
23857,"('AFRICAN', 'F')",61.98,968.58,751.83,Satanist,religion,all,AFRICAN,F
7797,"('GERMAN', 'F')",59.15,795.37,621.89,Satanist,religion,all,GERMAN,F
1227,"('ARAB', 'F')",63.41,931.01,695.38,Satanist,religion,all,ARAB,F
8527,"('GERMAN', 'M')",56.78,742.89,562.74,Satanist,religion,all,GERMAN,M
10717,"('HISPANIC', 'F')",59.7,738.12,561.57,Satanist,religion,all,HISPANIC,F
497,"('AFRICAN', 'M')",61.37,983.41,756.71,Satanist,religion,all,AFRICAN,M
24587,"('THAI', 'M')",63.52,859.98,619.75,Satanist,religion,all,THAI,M
11447,"('HISPANIC', 'M')",61.76,785.79,596.48,Satanist,religion,all,HISPANIC,M
2687,"('BALTIC', 'M')",51.62,719.02,565.82,Satanist,religion,all,BALTIC,M
20937,"('SLAV', 'M')",53.31,783.93,642.95,Satanist,religion,all,SLAV,M
14367,"('ISRAELI', 'M')",56.1,631.11,511.27,Satanist,religion,all,ISRAELI,M
12177,"('HUNGARIAN', 'M')",53.51,752.12,556.03,Satanist,religion,all,HUNGARIAN,M
3417,"('CHINESE', 'F')",67.95,871.66,671.49,Satanist,religion,all,CHINESE,F
26047,"('BALTIC', 'F')",54.99,770.33,561.01,Satanist,religion,all,BALTIC,F
4877,"('DUTCH', 'F')",62.2,977.79,777.44,Satanist,religion,all,DUTCH,F
21667,"('THAI', 'F')",66.15,923.07,670.36,Satanist,religion,all,THAI,F
27507,"('KOREAN', 'F')",67.06,985.11,731.39,Satanist,religion,all,KOREAN,F
28967,"('ENGLISH', 'M')",56.01,824.86,642.36,Satanist,religion,all,ENGLISH,M
18747,"('NORDIC', 'F')",56.28,761.42,582.49,Satanist,religion,all,NORDIC,F
20207,"('SLAV', 'F')",57.86,867.24,672.96,Satanist,religion,all,SLAV,F
6337,"('FRENCH', 'F')",60.41,882.46,664.01,Satanist,religion,all,FRENCH,F
9987,"('GREEK', 'M')",57.27,773.6,625.82,Satanist,religion,all,GREEK,M
16557,"('JAPANESE', 'F')",64.23,823.31,625.98,Satanist,religion,all,JAPANESE,F
4148,"('CHINESE', 'M')",51.72,1053.46,626.43,Scientologist,religion,all,CHINESE,M
17288,"('JAPANESE', 'M')",51.56,927.33,627.1,Scientologist,religion,all,JAPANESE,M
4878,"('DUTCH', 'F')",43.67,688.19,388.58,Scientologist,religion,all,DUTCH,F
8528,"('GERMAN', 'M')",44.65,732.99,472.11,Scientologist,religion,all,GERMAN,M
1228,"('ARAB', 'F')",42.92,675.19,398.7,Scientologist,religion,all,ARAB,F
7798,"('GERMAN', 'F')",43.18,720.44,414.2,Scientologist,religion,all,GERMAN,F
11448,"('HISPANIC', 'M')",44.54,674.22,479.38,Scientologist,religion,all,HISPANIC,M
24588,"('THAI', 'M')",46.64,793.05,514.58,Scientologist,religion,all,THAI,M
18748,"('NORDIC', 'F')",45.99,753.95,464.75,Scientologist,religion,all,NORDIC,F
22398,"('TURKISH', 'F')",40.46,620.34,358.1,Scientologist,religion,all,TURKISH,F
20938,"('SLAV', 'M')",39.12,651.15,381.19,Scientologist,religion,all,SLAV,M
25318,"('HUNGARIAN', 'F')",40.1,679.61,373.26,Scientologist,religion,all,HUNGARIAN,F
21668,"('THAI', 'F')",47.73,713.26,429.78,Scientologist,religion,all,THAI,F
7068,"('FRENCH', 'M')",42.59,638.52,434.23,Scientologist,religion,all,FRENCH,M
15098,"('ITALIAN', 'F')",41.67,647.89,396.74,Scientologist,religion,all,ITALIAN,F
6338,"('FRENCH', 'F')",41.41,681.26,429.58,Scientologist,religion,all,FRENCH,F
20208,"('SLAV', 'F')",40.23,629.09,368.44,Scientologist,religion,all,SLAV,F
28968,"('ENGLISH', 'M')",44.26,701.59,461.34,Scientologist,religion,all,ENGLISH,M
23858,"('AFRICAN', 'F')",49.18,831.63,522.39,Scientologist,religion,all,AFRICAN,F
12178,"('HUNGARIAN', 'M')",40.66,603.02,359.05,Scientologist,religion,all,HUNGARIAN,M
18018,"('KOREAN', 'M')",44.88,695.08,459.59,Scientologist,religion,all,KOREAN,M
9258,"('GREEK', 'F')",39.78,663.22,375.27,Scientologist,religion,all,GREEK,F
10718,"('HISPANIC', 'F')",42.17,583.72,336.74,Scientologist,religion,all,HISPANIC,F
9988,"('GREEK', 'M')",39.52,665.74,377.98,Scientologist,religion,all,GREEK,M
5608,"('DUTCH', 'M')",43.26,653.06,390.78,Scientologist,religion,all,DUTCH,M
16558,"('JAPANESE', 'F')",51.15,880.58,641.51,Scientologist,religion,all,JAPANESE,F
498,"('AFRICAN', 'M')",49.21,789.04,503.45,Scientologist,religion,all,AFRICAN,M
26048,"('BALTIC', 'F')",39.41,595.52,332.89,Scientologist,religion,all,BALTIC,F
3418,"('CHINESE', 'F')",47.74,937.18,533.33,Scientologist,religion,all,CHINESE,F
2688,"('BALTIC', 'M')",39.54,668.22,368.58,Scientologist,religion,all,BALTIC,M
12908,"('INDIAN', 'F')",49.55,770.47,423.6,Scientologist,religion,all,INDIAN,F
26778,"('ISRAELI', 'F')",43.09,631.69,390.11,Scientologist,religion,all,ISRAELI,F
27508,"('KOREAN', 'F')",45.36,720.02,459.48,Scientologist,religion,all,KOREAN,F
23128,"('TURKISH', 'M')",41.04,657.6,417.56,Scientologist,religion,all,TURKISH,M
15828,"('ITALIAN', 'M')",42.94,682.13,429.41,Scientologist,religion,all,ITALIAN,M
19478,"('NORDIC', 'M')",44.51,723.77,407.75,Scientologist,religion,all,NORDIC,M
1958,"('ARAB', 'M')",43.07,804.9,430.71,Scientologist,religion,all,ARAB,M
13638,"('INDIAN', 'M')",49.69,840.63,404.35,Scientologist,religion,all,INDIAN,M
14368,"('ISRAELI', 'M')",43.51,816.26,454.51,Scientologist,religion,all,ISRAELI,M
28238,"('ENGLISH', 'F')",42.56,672.68,416.94,Scientologist,religion,all,ENGLISH,F
26049,"('BALTIC', 'F')",31.0,148.89,113.01,Seventh-Day Adventist,religion,all,BALTIC,F
21669,"('THAI', 'F')",31.57,168.54,123.99,Seventh-Day Adventist,religion,all,THAI,F
5609,"('DUTCH', 'M')",36.56,184.98,152.17,Seventh-Day Adventist,religion,all,DUTCH,M
9259,"('GREEK', 'F')",35.88,262.32,199.65,Seventh-Day Adventist,religion,all,GREEK,F
6339,"('FRENCH', 'F')",34.15,227.72,174.91,Seventh-Day Adventist,religion,all,FRENCH,F
18019,"('KOREAN', 'M')",35.04,186.45,146.26,Seventh-Day Adventist,religion,all,KOREAN,M
3419,"('CHINESE', 'F')",32.98,164.42,106.47,Seventh-Day Adventist,religion,all,CHINESE,F
499,"('AFRICAN', 'M')",34.34,215.11,172.18,Seventh-Day Adventist,religion,all,AFRICAN,M
25319,"('HUNGARIAN', 'F')",34.35,184.21,145.24,Seventh-Day Adventist,religion,all,HUNGARIAN,F
20209,"('SLAV', 'F')",32.79,211.66,170.82,Seventh-Day Adventist,religion,all,SLAV,F
4879,"('DUTCH', 'F')",36.34,185.79,144.57,Seventh-Day Adventist,religion,all,DUTCH,F
28969,"('ENGLISH', 'M')",34.58,191.9,161.34,Seventh-Day Adventist,religion,all,ENGLISH,M
15099,"('ITALIAN', 'F')",33.73,188.3,151.43,Seventh-Day Adventist,religion,all,ITALIAN,F
24589,"('THAI', 'M')",31.67,149.42,105.38,Seventh-Day Adventist,religion,all,THAI,M
15829,"('ITALIAN', 'M')",35.74,274.01,222.84,Seventh-Day Adventist,religion,all,ITALIAN,M
2689,"('BALTIC', 'M')",32.03,185.24,144.68,Seventh-Day Adventist,religion,all,BALTIC,M
19479,"('NORDIC', 'M')",36.8,199.96,149.57,Seventh-Day Adventist,religion,all,NORDIC,M
12909,"('INDIAN', 'F')",32.86,261.73,177.82,Seventh-Day Adventist,religion,all,INDIAN,F
1959,"('ARAB', 'M')",33.92,272.85,221.58,Seventh-Day Adventist,religion,all,ARAB,M
7069,"('FRENCH', 'M')",34.58,204.26,182.41,Seventh-Day Adventist,religion,all,FRENCH,M
23129,"('TURKISH', 'M')",33.0,195.03,158.6,Seventh-Day Adventist,religion,all,TURKISH,M
27509,"('KOREAN', 'F')",35.02,227.55,175.54,Seventh-Day Adventist,religion,all,KOREAN,F
18749,"('NORDIC', 'F')",32.95,170.2,142.7,Seventh-Day Adventist,religion,all,NORDIC,F
22399,"('TURKISH', 'F')",32.36,181.16,136.63,Seventh-Day Adventist,religion,all,TURKISH,F
10719,"('HISPANIC', 'F')",32.78,132.03,105.36,Seventh-Day Adventist,religion,all,HISPANIC,F
26779,"('ISRAELI', 'F')",32.74,154.9,122.68,Seventh-Day Adventist,religion,all,ISRAELI,F
20939,"('SLAV', 'M')",33.15,227.99,181.47,Seventh-Day Adventist,religion,all,SLAV,M
23859,"('AFRICAN', 'F')",32.85,181.64,142.44,Seventh-Day Adventist,religion,all,AFRICAN,F
14369,"('ISRAELI', 'M')",32.71,191.09,136.01,Seventh-Day Adventist,religion,all,ISRAELI,M
8529,"('GERMAN', 'M')",33.93,223.97,175.22,Seventh-Day Adventist,religion,all,GERMAN,M
4149,"('CHINESE', 'M')",36.0,248.08,158.3,Seventh-Day Adventist,religion,all,CHINESE,M
11449,"('HISPANIC', 'M')",35.51,195.63,178.46,Seventh-Day Adventist,religion,all,HISPANIC,M
12179,"('HUNGARIAN', 'M')",36.94,212.18,182.51,Seventh-Day Adventist,religion,all,HUNGARIAN,M
9989,"('GREEK', 'M')",35.17,259.91,167.48,Seventh-Day Adventist,religion,all,GREEK,M
16559,"('JAPANESE', 'F')",37.8,204.69,154.8,Seventh-Day Adventist,religion,all,JAPANESE,F
17289,"('JAPANESE', 'M')",37.92,255.42,179.99,Seventh-Day Adventist,religion,all,JAPANESE,M
7799,"('GERMAN', 'F')",34.51,193.38,147.6,Seventh-Day Adventist,religion,all,GERMAN,F
1229,"('ARAB', 'F')",34.03,208.46,158.08,Seventh-Day Adventist,religion,all,ARAB,F
13639,"('INDIAN', 'M')",32.88,270.31,192.07,Seventh-Day Adventist,religion,all,INDIAN,M
28239,"('ENGLISH', 'F')",34.37,178.0,140.52,Seventh-Day Adventist,religion,all,ENGLISH,F
26050,"('BALTIC', 'F')",49.47,391.88,280.38,Shintoist,religion,all,BALTIC,F
2690,"('BALTIC', 'M')",47.29,402.76,295.11,Shintoist,religion,all,BALTIC,M
26780,"('ISRAELI', 'F')",51.46,459.91,318.73,Shintoist,religion,all,ISRAELI,F
25320,"('HUNGARIAN', 'F')",52.1,454.11,318.6,Shintoist,religion,all,HUNGARIAN,F
13640,"('INDIAN', 'M')",44.9,518.11,340.89,Shintoist,religion,all,INDIAN,M
12910,"('INDIAN', 'F')",47.36,541.63,349.15,Shintoist,religion,all,INDIAN,F
3420,"('CHINESE', 'F')",43.74,347.66,257.28,Shintoist,religion,all,CHINESE,F
23130,"('TURKISH', 'M')",47.76,404.96,313.95,Shintoist,religion,all,TURKISH,M
6340,"('FRENCH', 'F')",51.13,568.48,395.79,Shintoist,religion,all,FRENCH,F
28970,"('ENGLISH', 'M')",48.72,520.64,355.78,Shintoist,religion,all,ENGLISH,M
10720,"('HISPANIC', 'F')",48.31,402.03,280.66,Shintoist,religion,all,HISPANIC,F
16560,"('JAPANESE', 'F')",36.05,351.36,240.27,Shintoist,religion,all,JAPANESE,F
14370,"('ISRAELI', 'M')",50.04,472.91,363.72,Shintoist,religion,all,ISRAELI,M
21670,"('THAI', 'F')",42.27,383.86,264.12,Shintoist,religion,all,THAI,F
20940,"('SLAV', 'M')",47.0,407.46,313.55,Shintoist,religion,all,SLAV,M
500,"('AFRICAN', 'M')",46.16,480.64,341.01,Shintoist,religion,all,AFRICAN,M
18750,"('NORDIC', 'F')",45.15,387.42,289.99,Shintoist,religion,all,NORDIC,F
24590,"('THAI', 'M')",40.84,331.44,238.84,Shintoist,religion,all,THAI,M
18020,"('KOREAN', 'M')",40.69,324.08,242.87,Shintoist,religion,all,KOREAN,M
20210,"('SLAV', 'F')",51.32,471.68,352.84,Shintoist,religion,all,SLAV,F
23860,"('AFRICAN', 'F')",49.86,519.46,374.25,Shintoist,religion,all,AFRICAN,F
22400,"('TURKISH', 'F')",48.95,432.28,333.06,Shintoist,religion,all,TURKISH,F
17290,"('JAPANESE', 'M')",35.69,308.45,226.69,Shintoist,religion,all,JAPANESE,M
9990,"('GREEK', 'M')",50.32,456.65,371.72,Shintoist,religion,all,GREEK,M
4150,"('CHINESE', 'M')",43.41,411.72,332.47,Shintoist,religion,all,CHINESE,M
8530,"('GERMAN', 'M')",46.26,408.19,312.93,Shintoist,religion,all,GERMAN,M
7800,"('GERMAN', 'F')",51.73,490.29,331.63,Shintoist,religion,all,GERMAN,F
27510,"('KOREAN', 'F')",45.67,431.19,315.5,Shintoist,religion,all,KOREAN,F
1230,"('ARAB', 'F')",49.07,534.86,362.26,Shintoist,religion,all,ARAB,F
11450,"('HISPANIC', 'M')",48.69,452.0,338.96,Shintoist,religion,all,HISPANIC,M
15100,"('ITALIAN', 'F')",51.31,462.6,339.51,Shintoist,religion,all,ITALIAN,F
9260,"('GREEK', 'F')",55.43,578.74,437.72,Shintoist,religion,all,GREEK,F
4880,"('DUTCH', 'F')",55.03,542.71,374.19,Shintoist,religion,all,DUTCH,F
1960,"('ARAB', 'M')",46.81,529.37,350.05,Shintoist,religion,all,ARAB,M
5610,"('DUTCH', 'M')",49.23,429.31,320.64,Shintoist,religion,all,DUTCH,M
15830,"('ITALIAN', 'M')",49.15,489.23,393.0,Shintoist,religion,all,ITALIAN,M
7070,"('FRENCH', 'M')",45.96,403.17,313.1,Shintoist,religion,all,FRENCH,M
12180,"('HUNGARIAN', 'M')",49.0,426.68,307.02,Shintoist,religion,all,HUNGARIAN,M
28240,"('ENGLISH', 'F')",52.16,551.04,386.99,Shintoist,religion,all,ENGLISH,F
19480,"('NORDIC', 'M')",45.3,368.8,274.65,Shintoist,religion,all,NORDIC,M
28241,"('ENGLISH', 'F')",67.13,2096.19,1364.21,Sikh,religion,all,ENGLISH,F
22401,"('TURKISH', 'F')",69.84,1842.55,1327.81,Sikh,religion,all,TURKISH,F
4881,"('DUTCH', 'F')",78.88,2534.55,1801.37,Sikh,religion,all,DUTCH,F
5611,"('DUTCH', 'M')",78.76,2279.84,1615.57,Sikh,religion,all,DUTCH,M
2691,"('BALTIC', 'M')",75.67,2214.6,1538.89,Sikh,religion,all,BALTIC,M
24591,"('THAI', 'M')",64.11,1858.23,1416.65,Sikh,religion,all,THAI,M
21671,"('THAI', 'F')",66.03,1872.06,1388.44,Sikh,religion,all,THAI,F
8531,"('GERMAN', 'M')",79.18,2138.9,1492.57,Sikh,religion,all,GERMAN,M
20941,"('SLAV', 'M')",77.92,2117.05,1659.83,Sikh,religion,all,SLAV,M
26781,"('ISRAELI', 'F')",68.65,2329.6,1537.36,Sikh,religion,all,ISRAELI,F
4151,"('CHINESE', 'M')",70.34,2455.07,1726.3,Sikh,religion,all,CHINESE,M
9991,"('GREEK', 'M')",83.65,2501.88,1949.41,Sikh,religion,all,GREEK,M
13641,"('INDIAN', 'M')",45.84,1144.7,719.65,Sikh,religion,all,INDIAN,M
501,"('AFRICAN', 'M')",71.19,1839.76,1337.69,Sikh,religion,all,AFRICAN,M
23861,"('AFRICAN', 'F')",74.7,2750.89,1929.37,Sikh,religion,all,AFRICAN,F
17291,"('JAPANESE', 'M')",72.48,2392.56,1688.03,Sikh,religion,all,JAPANESE,M
7071,"('FRENCH', 'M')",78.43,2500.53,1756.91,Sikh,religion,all,FRENCH,M
18751,"('NORDIC', 'F')",74.38,2471.99,2060.5,Sikh,religion,all,NORDIC,F
19481,"('NORDIC', 'M')",79.47,3059.24,2294.23,Sikh,religion,all,NORDIC,M
10721,"('HISPANIC', 'F')",85.52,3454.78,2488.19,Sikh,religion,all,HISPANIC,F
1231,"('ARAB', 'F')",62.19,1900.4,1288.05,Sikh,religion,all,ARAB,F
23131,"('TURKISH', 'M')",69.54,1738.89,1273.05,Sikh,religion,all,TURKISH,M
25321,"('HUNGARIAN', 'F')",74.76,2473.46,1778.84,Sikh,religion,all,HUNGARIAN,F
18021,"('KOREAN', 'M')",69.11,2141.71,1377.95,Sikh,religion,all,KOREAN,M
27511,"('KOREAN', 'F')",69.08,1958.98,1415.59,Sikh,religion,all,KOREAN,F
12911,"('INDIAN', 'F')",47.93,1437.48,876.35,Sikh,religion,all,INDIAN,F
1961,"('ARAB', 'M')",62.11,1449.01,1033.82,Sikh,religion,all,ARAB,M
9261,"('GREEK', 'F')",81.25,2627.99,1873.4,Sikh,religion,all,GREEK,F
3421,"('CHINESE', 'F')",70.71,2694.09,1949.2,Sikh,religion,all,CHINESE,F
14371,"('ISRAELI', 'M')",70.2,2331.2,1632.96,Sikh,religion,all,ISRAELI,M
20211,"('SLAV', 'F')",73.62,2099.78,1532.82,Sikh,religion,all,SLAV,F
12181,"('HUNGARIAN', 'M')",78.3,2204.34,1705.03,Sikh,religion,all,HUNGARIAN,M
7801,"('GERMAN', 'F')",73.73,2574.83,1762.14,Sikh,religion,all,GERMAN,F
15831,"('ITALIAN', 'M')",70.92,2112.32,1509.25,Sikh,religion,all,ITALIAN,M
15101,"('ITALIAN', 'F')",71.89,2656.12,1740.56,Sikh,religion,all,ITALIAN,F
6341,"('FRENCH', 'F')",71.91,2303.39,1516.07,Sikh,religion,all,FRENCH,F
28971,"('ENGLISH', 'M')",71.86,1769.64,1215.34,Sikh,religion,all,ENGLISH,M
11451,"('HISPANIC', 'M')",79.26,2423.55,1757.1,Sikh,religion,all,HISPANIC,M
16561,"('JAPANESE', 'F')",72.52,2526.13,1758.58,Sikh,religion,all,JAPANESE,F
26051,"('BALTIC', 'F')",74.21,2582.75,1714.57,Sikh,religion,all,BALTIC,F
20942,"('SLAV', 'M')",61.03,966.35,585.85,Spiritualist,religion,all,SLAV,M
9992,"('GREEK', 'M')",61.49,1174.67,634.92,Spiritualist,religion,all,GREEK,M
6342,"('FRENCH', 'F')",63.21,940.31,608.34,Spiritualist,religion,all,FRENCH,F
19482,"('NORDIC', 'M')",65.58,1025.89,586.64,Spiritualist,religion,all,NORDIC,M
7072,"('FRENCH', 'M')",62.86,918.97,570.48,Spiritualist,religion,all,FRENCH,M
26052,"('BALTIC', 'F')",61.64,859.03,476.59,Spiritualist,religion,all,BALTIC,F
3422,"('CHINESE', 'F')",63.27,854.44,485.78,Spiritualist,religion,all,CHINESE,F
9262,"('GREEK', 'F')",63.91,1030.83,567.11,Spiritualist,religion,all,GREEK,F
15832,"('ITALIAN', 'M')",65.7,979.58,628.68,Spiritualist,religion,all,ITALIAN,M
1232,"('ARAB', 'F')",63.05,949.83,553.25,Spiritualist,religion,all,ARAB,F
5612,"('DUTCH', 'M')",65.18,899.98,531.23,Spiritualist,religion,all,DUTCH,M
17292,"('JAPANESE', 'M')",63.71,917.36,589.24,Spiritualist,religion,all,JAPANESE,M
502,"('AFRICAN', 'M')",55.57,900.24,553.91,Spiritualist,religion,all,AFRICAN,M
23132,"('TURKISH', 'M')",60.19,864.85,554.51,Spiritualist,religion,all,TURKISH,M
25322,"('HUNGARIAN', 'F')",61.73,905.89,536.91,Spiritualist,religion,all,HUNGARIAN,F
12912,"('INDIAN', 'F')",51.86,912.35,463.18,Spiritualist,religion,all,INDIAN,F
27512,"('KOREAN', 'F')",63.29,931.35,533.23,Spiritualist,religion,all,KOREAN,F
21672,"('THAI', 'F')",61.88,966.39,509.86,Spiritualist,religion,all,THAI,F
15102,"('ITALIAN', 'F')",65.08,834.28,566.96,Spiritualist,religion,all,ITALIAN,F
28242,"('ENGLISH', 'F')",56.63,744.16,503.09,Spiritualist,religion,all,ENGLISH,F
20212,"('SLAV', 'F')",61.25,934.41,548.65,Spiritualist,religion,all,SLAV,F
23862,"('AFRICAN', 'F')",52.46,841.49,530.89,Spiritualist,religion,all,AFRICAN,F
22402,"('TURKISH', 'F')",61.35,872.57,506.47,Spiritualist,religion,all,TURKISH,F
10722,"('HISPANIC', 'F')",57.08,818.35,499.9,Spiritualist,religion,all,HISPANIC,F
1962,"('ARAB', 'M')",57.46,1005.5,550.96,Spiritualist,religion,all,ARAB,M
11452,"('HISPANIC', 'M')",57.16,860.36,592.1,Spiritualist,religion,all,HISPANIC,M
18022,"('KOREAN', 'M')",61.4,893.83,525.58,Spiritualist,religion,all,KOREAN,M
4152,"('CHINESE', 'M')",62.73,967.1,559.36,Spiritualist,religion,all,CHINESE,M
18752,"('NORDIC', 'F')",62.7,882.87,536.22,Spiritualist,religion,all,NORDIC,F
8532,"('GERMAN', 'M')",63.3,842.4,573.41,Spiritualist,religion,all,GERMAN,M
7802,"('GERMAN', 'F')",63.18,849.7,579.43,Spiritualist,religion,all,GERMAN,F
2692,"('BALTIC', 'M')",64.31,864.12,508.95,Spiritualist,religion,all,BALTIC,M
28972,"('ENGLISH', 'M')",58.1,856.22,566.51,Spiritualist,religion,all,ENGLISH,M
4882,"('DUTCH', 'F')",68.07,989.29,587.36,Spiritualist,religion,all,DUTCH,F
12182,"('HUNGARIAN', 'M')",63.21,855.36,537.22,Spiritualist,religion,all,HUNGARIAN,M
24592,"('THAI', 'M')",60.11,873.76,494.27,Spiritualist,religion,all,THAI,M
16562,"('JAPANESE', 'F')",66.33,976.79,591.34,Spiritualist,religion,all,JAPANESE,F
13642,"('INDIAN', 'M')",47.95,837.93,447.8,Spiritualist,religion,all,INDIAN,M
14372,"('ISRAELI', 'M')",58.83,1004.14,549.25,Spiritualist,religion,all,ISRAELI,M
26782,"('ISRAELI', 'F')",60.55,987.89,544.9,Spiritualist,religion,all,ISRAELI,F
